dataset,n,m,metodo,obtenido,optimo,gap_relativo,tiempo,k,iteraciones
aleatorias-complejidad,67,2211,TABU_A,255.0,-,-,131.7,3,5
aleatorias-complejidad,67,2211,TABU_S,200.0,-,-,33.0331,3,5
aleatorias-complejidad,68,2278,INS,404.0,-,-,2.51501,-,-
aleatorias-complejidad,68,2278,VEC,287.0,-,-,0.138719,-,-
aleatorias-complejidad,68,2278,AGM,1080.0,-,-,0.302482,-,-
aleatorias-complejidad,68,2278,TABU_A,252.0,-,-,139.731,3,5
aleatorias-complejidad,68,2278,TABU_S,220.0,-,-,34.8651,3,5
aleatorias-complejidad,69,2346,INS,367.0,-,-,2.60703,-,-
aleatorias-complejidad,69,2346,VEC,211.0,-,-,0.138841,-,-
aleatorias-complejidad,69,2346,AGM,888.0,-,-,0.301358,-,-
aleatorias-complejidad,69,2346,TABU_A,167.0,-,-,139.805,3,5
aleatorias-complejidad,69,2346,TABU_S,144.0,-,-,36.8589,3,5
aleatorias-complejidad,70,2415,INS,373.0,-,-,3.02966,-,-
aleatorias-complejidad,70,2415,VEC,235.0,-,-,0.157804,-,-
aleatorias-complejidad,70,2415,AGM,1145.0,-,-,0.317952,-,-
aleatorias-complejidad,70,2415,TABU_A,211.0,-,-,176.69,3,5
aleatorias-complejidad,70,2415,TABU_S,179.0,-,-,40.7413,3,5
aleatorias-complejidad,71,2485,INS,369.0,-,-,3.13419,-,-
aleatorias-complejidad,71,2485,VEC,252.0,-,-,0.166644,-,-
aleatorias-complejidad,71,2485,AGM,1156.0,-,-,0.34377,-,-
aleatorias-complejidad,71,2485,TABU_A,206.0,-,-,172.396,3,5
aleatorias-complejidad,71,2485,TABU_S,175.0,-,-,39.2636,3,5
aleatorias-complejidad,72,2556,INS,367.0,-,-,2.95177,-,-
aleatorias-complejidad,72,2556,VEC,252.0,-,-,0.154499,-,-
aleatorias-complejidad,72,2556,AGM,1190.0,-,-,0.341778,-,-
aleatorias-complejidad,72,2556,TABU_A,214.0,-,-,176.377,3,5
aleatorias-complejidad,72,2556,TABU_S,171.0,-,-,41.2601,3,5
aleatorias-complejidad,73,2628,INS,402.0,-,-,3.25391,-,-
aleatorias-complejidad,73,2628,VEC,328.0,-,-,0.167221,-,-
aleatorias-complejidad,73,2628,AGM,1091.0,-,-,0.382777,-,-
aleatorias-complejidad,73,2628,TABU_A,265.0,-,-,176.215,3,5
aleatorias-complejidad,73,2628,TABU_S,213.0,-,-,40.878,3,5
aleatorias-complejidad,74,2701,INS,461.0,-,-,3.1092,-,-
aleatorias-complejidad,74,2701,VEC,273.0,-,-,0.171569,-,-
aleatorias-complejidad,74,2701,AGM,1260.0,-,-,0.330476,-,-
aleatorias-complejidad,74,2701,TABU_A,230.0,-,-,197.586,3,5
aleatorias-complejidad,74,2701,TABU_S,178.0,-,-,45.7518,3,5
aleatorias-complejidad,75,2775,INS,434.0,-,-,3.43549,-,-
aleatorias-complejidad,75,2775,VEC,333.0,-,-,0.16134,-,-
aleatorias-complejidad,75,2775,AGM,1292.0,-,-,0.374582,-,-
aleatorias-complejidad,75,2775,TABU_A,286.0,-,-,204.317,3,5
aleatorias-complejidad,75,2775,TABU_S,198.0,-,-,45.6922,3,5
aleatorias-complejidad,76,2850,INS,436.0,-,-,3.5607,-,-
aleatorias-complejidad,76,2850,VEC,317.0,-,-,0.169313,-,-
aleatorias-complejidad,76,2850,AGM,1467.0,-,-,0.37752,-,-
aleatorias-complejidad,76,2850,TABU_A,272.0,-,-,225.627,3,5
aleatorias-complejidad,76,2850,TABU_S,222.0,-,-,47.5698,3,5
aleatorias-complejidad,77,2926,INS,459.0,-,-,3.64924,-,-
aleatorias-complejidad,77,2926,VEC,340.0,-,-,0.17126,-,-
