dataset,n,m,metodo,obtenido,optimo,gap_relativo,tiempo,k,iteraciones,porcentaje
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,1781.92,120,18,0.2
instancias-tsplib,130,8385,TABU_S,6602.0,6110,0.08052373158756138,299.764,120,18,0.2
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,3375.17,120,18,0.4
instancias-tsplib,130,8385,TABU_S,6589.0,6110,0.07839607201309329,385.916,120,18,0.4
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,4953.57,120,18,0.6
instancias-tsplib,130,8385,TABU_S,6633.0,6110,0.0855973813420622,479.937,120,18,0.6
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,6502.23,120,18,0.8
instancias-tsplib,130,8385,TABU_S,6495.0,6110,0.0630114566284779,567.257,120,18,0.8
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,8103.43,120,18,1.0
instancias-tsplib,130,8385,TABU_S,6495.0,6110,0.0630114566284779,675.734,120,18,1.0
instancias-tsplib,130,8385,TABU_A,7465.0,6110,0.22176759410801963,1587.25,120,16,0.2
instancias-tsplib,130,8385,TABU_S,6712.0,6110,0.09852700490998363,258.946,120,16,0.2
instancias-tsplib,130,8385,TABU_A,7447.0,6110,0.2188216039279869,2995.59,120,16,0.4
instancias-tsplib,130,8385,TABU_S,6525.0,6110,0.06792144026186579,344.886,120,16,0.4
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,4380.95,120,16,0.6
instancias-tsplib,130,8385,TABU_S,6601.0,6110,0.08036006546644844,419.693,120,16,0.6
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,5788.57,120,16,0.8
instancias-tsplib,130,8385,TABU_S,6506.0,6110,0.06481178396072013,507.154,120,16,0.8
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,7196.23,120,16,1.0
instancias-tsplib,130,8385,TABU_S,6506.0,6110,0.06481178396072013,598.664,120,16,1.0
instancias-tsplib,130,8385,TABU_A,7467.0,6110,0.2220949263502455,1391.22,120,14,0.2
instancias-tsplib,130,8385,TABU_S,6686.0,6110,0.09427168576104747,227.666,120,14,0.2
instancias-tsplib,130,8385,TABU_A,7465.0,6110,0.22176759410801963,2609.98,120,14,0.4
instancias-tsplib,130,8385,TABU_S,6634.0,6110,0.08576104746317512,294.866,120,14,0.4
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,3859.84,120,14,0.6
instancias-tsplib,130,8385,TABU_S,6646.0,6110,0.08772504091653027,368.977,120,14,0.6
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,5056.56,120,14,0.8
instancias-tsplib,130,8385,TABU_S,6518.0,6110,0.06677577741407528,438.14,120,14,0.8
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,6319.15,120,14,1.0
instancias-tsplib,130,8385,TABU_S,6517.0,6110,0.06661211129296235,522.899,120,14,1.0
